timestamp,JSHeapUsedSize,JSHeapTotalSize,Nodes,LayoutCount,RecalcStyleCount
1785661721557,62437728,67977216,367,36,54
1785661724595,27333312,29835264,423,1,2
1785661725369,28398412,30883840,704,8,3
1785661726108,29071720,31932416,842,1,3
1785661726834,29887160,32456704,985,1,2
1785661727521,30381508,33243136,1124,1,2
1785661728060,30915904,33505280,1255,1,2
1785661728837,31530208,34029568,1536,2,3
1785661729520,32017396,34291712,1674,1,2
1785661730192,32945152,35340288,1817,1,2
1785661730885,33470860,35602432,1956,1,2
1785661731514,33940864,36126720,2087,1,3
1785661732534,34553024,37175296,2368,2,3
1785661732536,34553024,37175296,2368,2,3
1785661739032,31924528,61177856,767,10,2
1785661739159,32020864,61177856,767,10,2
1785661739316,32281464,61177856,767,10,2
1785661739798,40993392,61440000,818,12,4
1785661739910,39003604,61702144,818,12,4
1785661740090,39964452,64061440,949,12,4
1785661740562,35021044,57507840,969,13,6
1785661740902,46916524,63537152,828,20,22
1785661741628,40841424,65896448,828,25,28
1785661741989,42180508,66945024,828,28,32
1785661742706,44143888,69042176,828,37,44
1785661767872,67252948,135217152,5141,63,78
1785661772708,69525024,135217152,6125,9,3
1785661775505,70386256,135217152,6281,1,3
1785661776013,70386256,135217152,6281,1,3
1785661776601,49348932,52641792,6281,1,3
1785661777118,49348932,52641792,5804,1,3
1785661777631,49348932,52641792,5804,1,3
1785661778144,49348932,52641792,5804,1,3
1785661778650,49348932,52641792,5804,1,3
1785661779170,49348932,52641792,5804,1,3
1785661779686,49348932,52641792,5804,1,3
1785661780199,49348932,52641792,5804,1,3
1785661780712,49348932,52641792,5804,1,3
1785661780715,49348932,52641792,5804,1,3
1785661785204,53808856,71516160,2077,21,27
1785661785307,54261168,72040448,348,22,28
